GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TODO Plugin,paddletest2.com,HelloWorldBuilder,347,0,20,0,61,0,14,0,4,0
TODO Plugin,paddletest2.com,HelloWorldBuilder.DescriptorImpl,32,7,4,0,10,4,6,2,4,2
